Structure,SMILES,SI Table numbers/name,Formal charge,Formal charge Class,Q_vsa_Ppos,Q_vsa_Ppos Class,vsa_don,vsa_don Class,PA Accum Class,PA Accum,EC accum
,FC(F)(C[NH3+])CNc1c2c([nH+]c(N3Cc4c(S(=O)(=O)CC3)cccc4)c1)ccc(C)c2,2.32,0.641,0,123,1,29.1,1,1,1583 ± 42*,2492 ± 115*
,O=C(N)c1c(Nc2nc(C(C)(C)C)ccc2)cc(NCC2([NH3+])CC2)nn1,2.33,1.042,1,116,1,46.9,1,1,1577 ± 88*,1181 ± 73*
,S(=O)(=O)(c1cc(O)ccc1)c1cc2c([C@H](C[NH3+])CCC2)cc1,2.34,0.981,1,56,0,17.7,0,1,1573 ± 41*,1254 ± 115*
,O=S1(c2ccccc2CN(CC1)c3cc(NCC(C)[NH3+])c4cc(C)ccc4[nH+]3)=O,2.35,1.228,1,110,1,29.1,1,1,1420 ± 35*,4186 ± 35*
,O=C(NCC[NH3+])[C@@]1(C)[C@@H]2[C@@](C)(c3c([C@@H]([NH3+])C2)cc(C(C)C)cc3)CCC1,2.36,1.979,1,90,1,41.2,1,1,1380 ± 60*,1344 ± 25*
,O=S1c2ccccc2CN(CC1)c3nc(NCC4(COC4)C[NH3+])c5cc(CO)ccc5n3,2.37,1.667,1,198,1,29.1,1,1,1370 ± 25*,3747 ± 383*
,S(=O)(=O)(C)N1CCN(c2[nH+]c3c(c(NCC[NH3+])c2)cccc3)CC1,2.38,1.222,1,124,1,29.1,1,1,1360 ± 61*,1450 ± 37*
,[NH3+]C1c2c(-c3c1cccc3)cccc2,2.39,0.973,0,29,0,17.7,0,1,1327 ± 81*,617 ± 1*
,[NH3+]CC1CCN(c2nc(-c3cc4c(cc3)cccc4)ccn2)CC1,2.4,1.002,1,88,1,17.7,0,1,1303 ± 61*,40 ± 3
,O=C(N)c1c(N[C@H]2[C@@H]([NH3+])CCCC2)cc(Nc2nc(N3CCCC3)ccc2)nn1,2.41,1.063,1,146,1,46.9,1,1,1280 ± 32*,3887 ± 92*
,Clc1cccc(C(c2cc([C@@](c3c[nH]cn3C)(c4ccc(Cl)cc4)[NH3+])ccc2N5C)=CC5=O)c1,2.42,0.882,0,83,1,5.7,0,1,1253 ± 73*,629 ± 48*
,O=S1(=O)c2c(cccc2)CN(c2nc(NCCC[NH3+])c3sc(C)cc3n2)CC1,2.43,1.935,1,127,1,23.4,1,1,1213 ± 61*,3491 ± 81*
,O=C1C(c2c3c(n4c2C[C@@H](C[NH3+])CC4)cccc3)=C(c2c3c(n(C)c2)cccc3)C(=O)N1,2.44,0.997,1,74,0,23.4,1,1,1193 ± 27*,17 ± 7
,O=S1(=O)c2c(cccc2)CN(c2[nH+]c3c(c(NCC4([NH3+])CC4)c2)cc(C)cc3)CC1,2.45,1.22,1,107,1,29.1,1,1,1183 ± 52*,1708 ± 37*
,O=S1(=O)c2c(cccc2)CN(c2[nH+]c3c(c(NCC4([NH3+])CCC4)c2)cc(C)cc3)CC1,2.46,1.24,1,107,1,29.1,1,1,1173 ± 23*,2455 ± 95*
,Fc1cc2n(C)nc(-c3nc4c(C(=O)NC5CC([NH3+])C5)c[nH]c4nc3)c2cc1,2.47,1.002,1,82,1,23.4,1,1,1157 ± 46*,2805 ± 38*
,O[C@@]12[C@@H](C)C[C@]3([C@@H](C[NH3+])c4c(C)cccc4[C@H]3CC1)C2,2.48,0.998,1,49,0,17.7,0,1,1157 ± 69*,1650 ± 69*
,O=C(N)c1c(Nc2nc(C(OC)(C)C)ccc2)cc(NCC[NH3+])nn1,2.49,0.996,1,129,1,46.9,1,1,1150 ± 12*,1155 ± 39*
,O=S1(=O)c2c(cccc2)CN(c2[nH+]c3c(c(NCC([NH3+])(C)C)c2)cccc3)CC1,2.5,1.248,1,107,1,29.1,1,1,1113 ± 18*,3794 ± 86*
,Clc1c(-c2n(C)ncc2Cl)cc(C(=O)N[C@H](C[NH3+])Cc2cc(F)ccc2)s1,2.51,0.989,1,64,0,23.4,1,1,1113 ± 88*,393 ± 7*
,FC(F)(F)c1cc(F)c(-c2c3c([C@H]([NH3+])CCC3)cnc2)cc1,2.52,0.979,0,38,0,17.7,0,1,1111 ± 84*,1278 ± 39*
,Clc1cc(NC(=O)c2c3n(nc2)C=CC=N3)c(N2CCC(C[NH3+])CC2)cc1,2.53,0.999,1,104,1,23.4,1,1,1110 ± 45*,926 ± 28*
,O=C(N)c1c(Nc2nc(C)c(C)cc2)cc(NCC[NH3+])nn1,2.54,1.057,1,129,1,46.9,1,1,1080 ± 35*,2287 ± 5*
,O[C@@H]1[C@H](O)[C@@H](N)c2c([C@H]1[NH3+])cccc2,2.55,1.759,1,70,0,17.7,0,1,1062 ± 53*,1181 ± 86*
,Fc1cc2n(C)nc(-c3nc4c(C(=O)NC(CC[NH3+])(C)C)c[nH]c4nc3)c2cc1,2.56,1.005,1,89,1,23.4,1,1,1054 ± 36*,2315 ± 9*
